painting_no,technique_id,height_cm,width_cm,radius_cm,year,material_id,artist_id,owner_id,photo,AÇIKLAMA
1,6,20,32,,2012,2,1,1,,
2,6,29,20,,2011,2,1,1,,
3,6,28,20,,2011,2,1,1,,
4,1,32,34,,2014,2,1,1,,
5,1,37,22,,2016,2,1,1,,
6,1,29,32,,2017,2,1,1,,
7,1,"23,5",50,,2016,2,1,1,,
8,1,25,35,,2016,2,1,1,,
9,1,27,40,,2016,2,1,1,,
10,1,21,45,,2016,2,1,1,,
11,1,41,27,,2017,2,1,1,,
12,1,"25,5","45,5",,2016,5,1,1,,
13,1,"31,5",50,,2016,2,1,1,,
14,1,"37,5","27,5",,2016,2,1,1,,
15,1,"27,5",41,,2017,2,1,1,,
16,6,28,20,,2011,2,1,1,,
17,1,22,29,,2014,2,1,1,,
18,1,32,"52,5",,2016,2,1,1,,
19,1,25,45,,2016,2,1,1,,
20,1,30,44,,2016,2,1,1,,
21,1,"25,5",53,,2016,2,1,1,,
22,1,32,35,,2016,2,1,1,,
23,1,"20,5","24,5",,2013,2,1,1,,
24,6,25,21,,2012,2,1,1,,
25,1,27,22,,2015,2,1,1,,
26,1,30,32,,2016,2,1,1,,
27,6,"24,5",34,,2012,2,1,1,,
28,6,"23,5",32,,2012,2,1,1,,
29,6,34,"24,5",,2012,2,1,1,,
30,6,30,21,,2012,2,1,1,,
31,6,33,22,,2011,2,1,1,,
32,6,"23,5",33,,2011,2,1,1,,
33,6,24,"36,5",,2010,2,1,1,,
34,6,"23,5",33,,2011,2,1,1,,
35,6,23,"32,5",,2012,2,1,1,,
36,1,"29,5",44,,2016,2,1,26,,
37,1,35,"30,5",,2016,2,1,1,,
38,1,"37,5",34,,2016,2,1,1,,
39,6,"32,5","23,5",,2011,2,1,1,,
40,6,35,"23,5",,2011,2,1,1,,
41,6,35,26,,2012,2,1,1,,
42,6,35,"29,5",,2011,2,1,1,,
43,6,27,36,,2011,2,1,1,,
44,6,20,"34,5",,2012,2,1,1,,
45,6,21,35,,2011,2,1,1,,
46,6,20,"36,5",,2012,2,1,1,,
47,6,37,14,,2011,2,1,1,,
48,6,37,"14,5",,2011,2,1,1,,
49,1,29,45,,2016,2,1,1,,
50,6,23,22,,2012,2,1,1,,
51,6,21,35,,2011,2,1,1,,
52,6,25,"34,5",,2011,2,1,1,,
53,1,37,33,,2016,2,1,1,,
54,6,35,20,,2011,2,1,1,,
55,6,"17,5","32,5",,2011,2,1,1,,
56,6,23,38,,2011,2,1,1,,
57,6,20,"27,5",,2011,2,1,1,,
58,6,20,"29,5",,2011,2,1,1,,
59,6,"20,5",29,,2011,2,1,1,,
60,6,20,30,,2011,2,1,1,,
61,1,38,"32,5",,2016,5,1,1,,
62,6,31,37,,2012,2,1,1,,
63,6,26,"36,5",,2011,2,1,1,,
64,1,28,"43,5",,2016,5,1,1,,
65,6,22,40,,2012,2,1,1,,
66,6,43,33,,2012,2,1,1,,
67,6,"49,5",21,,2012,2,1,1,,
68,6,"20,5","29,5",,2011,2,1,1,,
69,6,18,32,,2011,2,1,1,,
70,6,21,39,,2012,2,1,1,,
71,6,13,38,,2011,2,1,1,,
72,6,26,41,,2012,2,1,1,,
73,1,"32,5",22,,2014,2,1,1,,
74,6,26,35,,2012,2,1,1,,
75,6,"26,5",27,,2012,2,1,1,,
76,6,"38,5","27,5",,2012,2,1,1,,
77,6,24,33,,2012,2,1,1,,
78,1,24,33,,2016,4,1,1,,
79,1,28,31,,2016,2,1,1,,
80,1,25,37,,2017,2,1,1,,
81,1,"28,5",36,,2017,2,1,1,,
82,6,28,21,,2012,2,1,1,,
83,6,,,26,2011,4,1,1,,
84,1,46,"23,5",,2017,2,1,1,,
85,1,41,"27,5",,2017,2,1,1,,
86,1,29,37,,2017,2,1,1,,
87,6,21,"34,5",,2010,2,1,1,,
88,6,35,20,,2011,2,1,1,,
89,6,41,23,,2012,2,1,1,,
90,6,22,50,,2011,2,1,1,,
91,1,51,21,,2016,2,1,1,,
92,6,24,"42,5",,2010,2,1,1,,
93,6,29,31,,2010,2,1,1,,
94,9,"33,5",18,,2014,2,1,1,,
95,,,,,,,,,BOŞ,
96,,,,,,,,,BOŞ,
97,,,,,,,,,BOŞ,
98,,,,,,,,,BOŞ,
99,,,,,,,,,BOŞ,
100,9,35,22,,2012,3,1,1,,
101,,,,,,,,,BOŞ,
102,6,"25,5",44,,2012,2,1,1,,
103,1,40,30,,2009,3,1,1,,
104,,,,,,,,,BOŞ,
105,,,,,,,,,BOŞ,
106,,,,,,,,,BOŞ,
107,,,,,,,,,BOŞ,
108,6,"20,5",30,,2011,2,1,1,,
109,6,29,"34,5",,2011,2,1,1,,
110,6,29,"36,5",,2011,2,1,1,,
111,,,,,,,,,BOŞ,
112,,,,,,,,,BOŞ,
113,,,,,,,,,BOŞ,
114,,,,,,,,,BOŞ,
115,,,,,,,,,BOŞ,
116,,,,,,,,,BOŞ,
117,6,30,24,,2013,2,1,1,,
118,6,27,"32,5",,2013,2,1,1,,
119,6,24,33,,2013,2,1,1,,
120,6,25,"34,5",,2013,2,1,1,,
121,6,30,24,,2011,2,1,1,,
122,,,,,,,,,BOŞ,
123,6,"23,5","33,5",,2012,2,1,1,,
124,6,40,21,,2011,2,1,1,,
125,6,"40,5","18,5",,2011,2,1,1,,
126,6,41,"19,5",,2012,2,1,1,,
127,6,16,44,,2011,2,1,1,,
128,6,23,38,,2011,2,1,1,,
129,6,20,38,,2011,2,1,1,,
130,6,23,41,,2011,2,1,1,,
131,6,"23,5",33,,2011,2,1,1,,
132,6,"23,5",33,,2011,2,1,1,,
133,6,"23,5","33,5",,2011,2,1,1,,
134,6,20,28,,2011,2,1,1,,
135,6,"22,5",38,,2012,2,1,1,,
136,6,"23,5",33,,2011,2,1,1,,
137,6,"23,5",33,,2011,2,1,1,,
138,6,"23,5",33,,2011,2,1,1,,
139,6,"23,5","32,5",,2011,2,1,1,,
140,6,28,24,,2011,2,1,1,,
141,1,34,31,,2014,2,1,1,,
142,,,,,,,,,BOŞ,
143,,,,,,,,,BOŞ,
144,6,"32,5",24,,2012,2,1,1,,
145,6,28,22,,2011,2,1,1,,
146,6,"21,5",27,,2011,2,1,1,,
147,6,"27,5",19,,2012,2,1,1,,
148,1,49,24,,2014,2,1,1,,
149,,,,,,,,,BOŞ,
150,,,,,,,,,BOŞ,
151,,,,,,,,,BOŞ,
152,,,,,,,,,BOŞ,
153,,,,,,,,,BOŞ,
154,,,,,,,,,BOŞ,
155,,,,,,,,,BOŞ,
156,6,21,29,,2012,2,1,,,
157,6,"29,5",42,,2011,2,1,,,
158,6,"30,5",31,,2011,2,1,,,
159,6,30,30,,2011,2,1,,,
160,6,30,35,,2011,2,1,,,
161,6,23,29,,2011,2,1,,,
162,6,"25,5","29,5",,2012,2,1,,,
163,,,,,,,,,BOŞ,
164,6,"22,5","29,5",,2011,2,1,,,
165,,,,,,,,,BOŞ,
166,6,24,25,,2011,2,1,,,
167,,,,,,,,,BOŞ,
168,,,,,,,,,BOŞ,
169,,,,,,,,,BOŞ,
170,,,,,,,,,BOŞ,
171,1,25,35,,2008,2,1,1,,
172,1,35,50,,1987,2,1,1,,
173,1,38,44,,2014,2,1,1,,
174,6,26,31,,2013,2,1,1,,
175,1,37,37,,1980,2,1,1,,
176,6,38,38,,2013,2,1,1,,
177,6,32,35,,2013,2,1,1,,
178,1,35,29,,2012,2,1,1,,
179,1,30,34,,2014,2,1,1,,
180,1,29,29,,1981,2,1,1,,
181,1,29,39,,2014,2,1,1,,
182,6,20,37,,2013,2,1,1,,
183,6,"27,5","47,5",,2013,2,1,1,,
184,6,"29,5","29,5",,2013,2,1,1,,
185,1,35,47,,2000,2,1,1,,
